n,k,lamdak,ak
1,1,0,2
2,1,-0.57735027,1
2,2,0.57735027,1
3,1,-0.77459667,0.55555556
3,2,0,0.88888889
3,3,0.77459667,0.55555556
4,1,-0.86113631,0.34785484
4,2,-0.33998104,0.65214516
4,3,0.33998104,0.65214516
4,4,0.86113631,0.34785484
5,1,-0.90617986,0.23692688
5,2,-0.53846931,0.47862868
5,3,0,0.56888889
5,4,0.53846931,0.47862868
5,5,0.90617986,0.23692688
6,1,-0.93246951,0.1713245
6,2,-0.66120039,0.36076158
6,3,-0.23861919,0.46791394
6,4,0.23861919,0.46791394
6,5,0.66120039,0.36076158
6,6,0.93246951,0.1713245
7,1,-0.94910791,0.12948496
7,2,-0.74153119,0.2797054
7,3,-0.40584515,0.38183006
7,4,0,0.41795918
7,5,0.40584515,0.38183006
7,6,0.74153119,0.2797054
7,7,0.94910791,0.12948496
8,1,-0.96028986,0.10122854
8,2,-0.79666648,0.22238104
8,3,-0.52553242,0.31370664
8,4,-0.18343464,0.36268378
8,5,0.18343464,0.36268378
8,6,0.52553242,0.31370664
8,7,0.79666648,0.22238104
8,8,0.96028986,0.10122854
